Time,	NewLatentPB,	NewInfectiousPB,	NewInfectiousIdentifiedPB,	NewInfectiousUnderTreatmeanPB,	NewInfectiousNotCuredPB,	NewRecoveredLatentPB,	NewRelapsePB
136,	2.815000,	2.940000,	16.785000,	42.215000,	0.285000,	11.935000,	0.000000
137,	2.670000,	2.705000,	14.180000,	36.115002,	0.270000,	10.590000,	0.000000
138,	2.310000,	2.465000,	13.165000,	34.705002,	0.265000,	9.745000,	0.000000
139,	2.195000,	2.265000,	11.570000,	33.215000,	0.250000,	10.185000,	0.000000
140,	1.850000,	1.870000,	11.190000,	35.119999,	0.280000,	10.560000,	0.000000
141,	1.800000,	1.735000,	11.080000,	34.945000,	0.255000,	11.540000,	0.000000
142,	1.580000,	1.595000,	10.660000,	34.244999,	0.310000,	11.325000,	0.000000
143,	1.785000,	1.815000,	10.680000,	32.980000,	0.250000,	11.175000,	0.000000
144,	1.715000,	1.650000,	10.765000,	32.310001,	0.310000,	10.775000,	0.000000
145,	1.480000,	1.510000,	10.215000,	29.895000,	0.320000,	9.745000,	0.000000
146,	1.410000,	1.390000,	9.590000,	28.150000,	0.235000,	9.080000,	0.000000
147,	1.430000,	1.450000,	9.460000,	26.480000,	0.265000,	8.250000,	0.000000
148,	1.405000,	1.395000,	8.415000,	23.500000,	0.170000,	7.310000,	0.000000
149,	1.205000,	1.145000,	7.505000,	21.170000,	0.155000,	6.195000,	0.000000
150,	1.170000,	1.185000,	7.340000,	19.650000,	0.150000,	5.895000,	0.000000
151,	0.920000,	0.955000,	6.420000,	18.184999,	0.105000,	5.275000,	0.000000
152,	0.820000,	0.845000,	5.600000,	17.500000,	0.145000,	4.705000,	0.000000
153,	0.890000,	0.970000,	5.235000,	16.745001,	0.135000,	4.515000,	0.000000
154,	0.875000,	0.865000,	5.090000,	16.709999,	0.125000,	4.640000,	0.000000
155,	0.775000,	0.715000,	4.445000,	15.060000,	0.140000,	4.450000,	0.000000
156,	0.785000,	0.810000,	4.290000,	14.705000,	0.105000,	4.240000,	0.000000
157,	0.700000,	0.680000,	4.170000,	14.010000,	0.140000,	3.825000,	0.000000
158,	0.615000,	0.625000,	3.990000,	13.385000,	0.095000,	3.870000,	0.000000
159,	0.640000,	0.680000,	3.840000,	11.910000,	0.100000,	3.825000,	0.000000
160,	0.475000,	0.480000,	3.635000,	11.410000,	0.040000,	3.355000,	0.000000
161,	0.555000,	0.530000,	3.365000,	10.455000,	0.065000,	2.805000,	0.000000
162,	0.610000,	0.645000,	3.155000,	9.555000,	0.060000,	2.830000,	0.000000
163,	0.460000,	0.460000,	2.775000,	8.385000,	0.070000,	2.360000,	0.000000
164,	0.460000,	0.440000,	2.735000,	8.425000,	0.040000,	2.315000,	0.000000
165,	0.465000,	0.460000,	2.385000,	8.045000,	0.045000,	2.050000,	0.000000
166,	0.440000,	0.420000,	2.320000,	7.510000,	0.055000,	1.940000,	0.000000
167,	0.395000,	0.410000,	1.915000,	6.970000,	0.075000,	1.635000,	0.000000
168,	0.345000,	0.345000,	1.920000,	6.735000,	0.020000,	1.640000,	0.000000
169,	0.325000,	0.340000,	1.685000,	6.185000,	0.050000,	1.495000,	0.000000
170,	0.295000,	0.285000,	1.560000,	5.600000,	0.020000,	1.515000,	0.000000
171,	0.355000,	0.395000,	1.755000,	5.770000,	0.025000,	1.275000,	0.000000
172,	0.360000,	0.335000,	1.420000,	4.980000,	0.040000,	1.340000,	0.000000
173,	0.270000,	0.250000,	1.420000,	4.895000,	0.020000,	1.300000,	0.000000
174,	0.270000,	0.275000,	1.255000,	4.445000,	0.060000,	1.100000,	0.000000
175,	0.250000,	0.290000,	1.215000,	4.025000,	0.030000,	1.030000,	0.000000
176,	0.255000,	0.245000,	1.075000,	3.750000,	0.040000,	0.940000,	0.000000
177,	0.255000,	0.225000,	0.990000,	3.445000,	0.010000,	0.770000,	0.000000
178,	0.220000,	0.210000,	0.995000,	3.445000,	0.005000,	0.800000,	0.000000
179,	0.230000,	0.240000,	0.870000,	3.160000,	0.035000,	0.775000,	0.000000
180,	0.225000,	0.285000,	0.835000,	3.005000,	0.005000,	0.610000,	0.000000
181,	0.260000,	0.240000,	0.870000,	3.085000,	0.000000,	0.590000,	0.000000
182,	0.165000,	0.170000,	0.670000,	2.440000,	0.010000,	0.500000,	0.000000
