Time,	Latent,	Infectious,	InfectiousIdentified,	InfectiousUnderTreatmean,	InfectiousNotCured,	TotalInfectious,	RecoveredLatent,	Relapse
136,	32.410000,	232.300003,	44.630001,	308.640015,	4.540000,	281.469994,	34.760002,	0.000000
137,	31.369999,	224.860016,	43.230003,	299.679993,	4.470000,	272.560013,	32.880001,	0.000000
138,	31.139999,	217.320007,	41.599998,	291.000000,	4.340000,	263.260010,	32.279999,	0.000000
139,	29.639999,	211.269989,	41.270000,	283.309998,	4.110000,	256.649986,	30.709999,	0.000000
140,	30.330000,	204.100006,	39.820000,	275.989990,	3.840000,	247.759995,	29.160000,	0.000000
141,	29.090000,	197.290009,	39.739998,	268.440002,	3.740000,	240.769997,	27.590000,	0.000000
142,	29.130001,	191.350006,	39.110001,	261.479980,	3.810000,	234.269989,	26.270000,	0.000000
143,	27.459999,	187.229996,	37.720001,	256.410004,	3.750000,	228.700005,	24.939999,	0.000000
144,	26.480001,	181.330002,	35.599998,	251.070007,	3.610000,	220.539993,	23.770000,	0.000000
145,	26.000000,	175.729996,	35.480000,	244.299988,	3.340000,	214.549995,	23.119999,	0.000000
146,	25.580000,	170.770004,	35.369999,	236.700012,	3.270000,	209.409996,	22.719999,	0.000000
147,	25.400002,	166.199997,	34.430000,	230.799988,	3.190000,	203.820000,	21.789999,	0.000000
148,	24.630001,	162.169998,	32.450001,	225.220001,	3.130000,	197.749992,	21.470001,	0.000000
149,	23.510000,	159.500000,	32.010002,	218.929993,	3.060000,	194.569992,	20.500000,	0.000000
150,	22.629999,	156.139999,	31.730000,	213.729996,	3.220000,	191.090004,	19.860001,	0.000000
151,	22.020000,	152.410004,	30.410000,	207.540009,	3.000000,	185.819984,	19.150000,	0.000000
152,	21.730000,	148.790009,	29.430000,	203.180008,	2.740000,	180.960003,	18.200001,	0.000000
153,	21.369999,	144.989990,	29.299999,	198.550003,	2.640000,	176.930004,	17.299999,	0.000000
154,	21.660000,	141.679993,	28.490000,	193.669998,	2.610000,	172.779999,	16.620001,	0.000000
155,	20.990000,	138.660004,	27.820000,	188.419998,	2.520000,	169.000004,	16.180000,	0.000000
156,	20.620001,	135.860001,	28.020000,	184.059998,	2.470000,	166.350006,	15.299999,	0.000000
157,	20.559999,	133.389999,	27.420000,	180.129990,	2.340000,	163.150002,	14.780001,	0.000000
158,	20.150000,	131.959991,	26.850000,	177.200012,	2.350000,	161.160000,	13.850000,	0.000000
159,	19.139999,	128.040009,	25.949999,	173.220001,	2.420000,	156.410007,	14.000000,	0.000000
160,	18.809999,	124.410004,	25.450001,	169.029999,	2.470000,	152.330006,	13.809999,	0.000000
161,	19.449999,	121.639999,	24.180000,	165.459991,	2.350000,	148.169991,	13.160000,	0.000000
162,	19.360001,	119.309998,	23.549999,	161.860001,	2.400000,	145.260000,	12.420000,	0.000000
163,	18.730000,	115.970001,	24.180000,	158.410004,	2.340000,	142.490004,	12.290000,	0.000000
164,	18.160000,	113.469994,	23.939999,	154.580002,	2.270000,	139.680000,	12.110001,	0.000000
165,	17.780001,	112.360001,	22.900000,	152.080002,	2.160000,	137.420002,	11.580000,	0.000000
166,	17.100000,	110.349998,	22.840000,	149.199997,	2.250000,	135.439997,	11.360001,	0.000000
167,	16.930000,	107.729996,	22.270000,	146.229996,	2.080000,	132.079996,	10.889999,	0.000000
168,	16.799999,	105.849998,	22.179998,	143.929993,	1.960000,	129.990002,	10.389999,	0.000000
169,	16.699999,	103.660004,	22.240002,	140.570007,	2.060000,	127.960009,	10.020000,	0.000000
170,	16.730000,	102.410004,	21.629999,	137.880005,	2.020000,	126.059999,	9.940000,	0.000000
171,	16.059999,	100.849998,	21.070000,	135.679993,	1.790000,	123.710001,	9.889999,	0.000000
172,	16.120001,	99.059998,	20.490000,	134.089996,	1.710000,	121.259995,	8.860001,	0.000000
173,	15.639999,	96.399994,	20.259998,	132.160004,	1.720000,	118.379993,	9.219999,	0.000000
174,	15.259999,	95.300003,	20.209999,	130.440002,	1.650000,	117.160002,	8.590000,	0.000000
175,	14.750000,	94.580002,	20.340000,	127.750000,	1.540000,	116.459999,	8.180000,	0.000000
176,	14.770000,	93.120003,	20.039999,	125.599998,	1.450000,	114.610006,	7.790000,	0.000000
177,	14.050000,	91.380005,	19.100000,	123.659996,	1.420000,	111.900007,	8.250000,	0.000000
178,	14.540000,	89.320000,	18.410000,	121.570000,	1.440000,	109.170005,	7.780000,	0.000000
179,	14.550000,	87.430000,	17.869999,	120.379997,	1.450000,	106.750003,	7.640000,	0.000000
180,	14.600000,	86.419998,	17.879999,	118.000000,	1.510000,	105.810002,	7.260000,	0.000000
181,	14.440000,	86.259995,	18.120001,	115.750000,	1.350000,	105.730003,	7.170000,	0.000000
182,	13.559999,	85.260002,	18.320000,	113.789993,	1.440000,	105.020004,	6.900000,	0.000000
183,	13.680000,	83.840004,	17.949999,	112.570000,	1.480000,	103.270000,	7.150000,	0.000000
184,	13.960000,	83.189995,	17.600000,	110.559998,	1.560000,	102.349998,	6.670000,	0.000000
