Time,	Latent,	Infectious,	InfectiousIdentified,	InfectiousUnderTreatmean,	InfectiousNotCured,	TotalInfectious,	RecoveredLatent,	Relapse
104,	132.480011,	1054.975098,	0.310000,	405.700012,	0.000000,	1055.285034,	0.065000,	0.000000
105,	122.555000,	983.730042,	0.210000,	475.119995,	0.000000,	983.940063,	0.075000,	0.000000
106,	113.869995,	914.010010,	0.210000,	534.875000,	0.000000,	914.220001,	0.070000,	0.000000
107,	105.224998,	849.099976,	0.215000,	585.135010,	0.000000,	849.314972,	0.070000,	0.000000
108,	96.224998,	786.234985,	0.220000,	627.589966,	0.000000,	786.455017,	0.065000,	0.000000
109,	88.505005,	728.344971,	0.165000,	662.390015,	0.000000,	728.510010,	0.050000,	0.000000
110,	80.419998,	672.459961,	0.155000,	691.739990,	0.000000,	672.614990,	0.060000,	0.000000
111,	73.340004,	619.385010,	0.115000,	713.025024,	0.000000,	619.500000,	0.040000,	0.000000
112,	65.919998,	570.864990,	0.135000,	728.054993,	0.000000,	571.000015,	0.015000,	0.000000
113,	61.154999,	532.604980,	0.155000,	681.085022,	2.060000,	534.820038,	45.139999,	0.000000
114,	56.955002,	507.274994,	0.250000,	646.915039,	3.685000,	511.209991,	66.270004,	0.000000
115,	54.185001,	485.979980,	0.120000,	618.594971,	4.930000,	491.029984,	77.485001,	0.000000
116,	52.544998,	466.184998,	0.150000,	593.940002,	5.785000,	472.120026,	81.834999,	0.000000
117,	51.000000,	447.959991,	0.135000,	578.455017,	6.280000,	454.375000,	77.854996,	0.000000
118,	49.010002,	430.700012,	0.115000,	564.979980,	6.485000,	437.300003,	73.839996,	0.000000
119,	46.630001,	412.540009,	0.155000,	552.520020,	6.585000,	419.280014,	69.815002,	0.000000
120,	45.250000,	395.255005,	0.155000,	541.500000,	6.775000,	402.185028,	65.115005,	0.000000
121,	42.764999,	378.674988,	0.145000,	531.559998,	6.865000,	385.685013,	60.115002,	0.000000
122,	41.380001,	361.020020,	0.130000,	522.574951,	6.810000,	367.959991,	55.285000,	0.000000
123,	39.775002,	344.404999,	0.130000,	513.424988,	6.715000,	351.250015,	50.500000,	0.000000
124,	37.955002,	327.460022,	0.090000,	504.054993,	6.365000,	333.914993,	46.514999,	0.000000
125,	35.635002,	311.289978,	0.095000,	490.645020,	5.895000,	317.279999,	45.809998,	0.000000
126,	33.570000,	298.325012,	0.085000,	474.460022,	5.935000,	304.344986,	46.924999,	0.000000
127,	32.334999,	287.184998,	0.110000,	456.894989,	5.935000,	293.229980,	48.205002,	0.000000
128,	32.130001,	276.315002,	0.160000,	440.350006,	5.975000,	282.449997,	47.785000,	0.000000
129,	30.895000,	267.029999,	0.080000,	425.049988,	6.105000,	273.214989,	47.460003,	0.000000
130,	29.805000,	257.455017,	0.125000,	411.354980,	6.040000,	263.620010,	46.099998,	0.000000
131,	28.965000,	248.605011,	0.060000,	397.640015,	5.780000,	254.445007,	45.310001,	0.000000
132,	27.764999,	239.625000,	0.110000,	384.690002,	5.620000,	245.354996,	43.584999,	0.000000
133,	27.260000,	231.205002,	0.085000,	371.654999,	5.650000,	236.940010,	41.349998,	0.000000
134,	25.900000,	222.725006,	0.075000,	360.825012,	5.455000,	228.255005,	39.125000,	0.000000
135,	25.470001,	214.285004,	0.065000,	350.535004,	5.290000,	219.639999,	36.989998,	0.000000
136,	23.715000,	205.325012,	0.090000,	340.029999,	5.120000,	210.535011,	34.959999,	0.000000
137,	23.139999,	197.334991,	0.050000,	329.820007,	4.975000,	202.360001,	33.195000,	0.000000
138,	22.594999,	190.040009,	0.085000,	319.984985,	4.670000,	194.794998,	32.195000,	0.000000
139,	21.814999,	182.755005,	0.060000,	310.329987,	4.645000,	187.459999,	30.990002,	0.000000
140,	20.900000,	175.654999,	0.080000,	300.915009,	4.440000,	180.175003,	29.930000,	0.000000
141,	20.125000,	170.169998,	0.080000,	290.394989,	4.280000,	174.529999,	29.165001,	0.000000
142,	19.555000,	164.285004,	0.065000,	281.355011,	4.185000,	168.535004,	28.320000,	0.000000
143,	19.404999,	158.730011,	0.070000,	272.984985,	4.055000,	162.855003,	26.880001,	0.000000
144,	18.350000,	152.485001,	0.055000,	264.669983,	3.835000,	156.375004,	25.650000,	0.000000
145,	17.770000,	147.205002,	0.050000,	255.954987,	3.780000,	151.035000,	24.684999,	0.000000
146,	17.379999,	142.375000,	0.055000,	247.264999,	3.595000,	146.025009,	23.845001,	0.000000
147,	17.084999,	138.429993,	0.050000,	239.250000,	3.405000,	141.885002,	23.195000,	0.000000
148,	16.495001,	133.949997,	0.030000,	231.739990,	3.410000,	137.390003,	21.664999,	0.000000
149,	16.000000,	129.305008,	0.035000,	225.220001,	3.365000,	132.705002,	20.520000,	0.000000
150,	15.500000,	125.470001,	0.035000,	218.029999,	3.315000,	128.820000,	19.719999,	0.000000
151,	14.975000,	121.570007,	0.035000,	211.319992,	3.265000,	124.869999,	19.330000,	0.000000
152,	14.595000,	117.659996,	0.030000,	204.570007,	3.065000,	120.754993,	18.879999,	0.000000
153,	13.785000,	115.039993,	0.055000,	198.725006,	2.995000,	118.090004,	17.565001,	0.000000
154,	13.390000,	111.534996,	0.025000,	192.225006,	2.865000,	114.424995,	17.285000,	0.000000
155,	13.390000,	107.835007,	0.055000,	186.300003,	2.710000,	110.600000,	16.350000,	0.000000
156,	12.940001,	104.044998,	0.065000,	180.895004,	2.480000,	106.590000,	15.485001,	0.000000
157,	12.705000,	100.830002,	0.045000,	175.230011,	2.440000,	103.315006,	14.670000,	0.000000
158,	12.355000,	97.600006,	0.040000,	169.970001,	2.460000,	100.100004,	14.070000,	0.000000
159,	12.059999,	94.730003,	0.030000,	165.315002,	2.255000,	97.015001,	13.670000,	0.000000
160,	11.500000,	92.004997,	0.015000,	160.279999,	2.300000,	94.319992,	13.465000,	0.000000
161,	11.434999,	89.529999,	0.025000,	155.449997,	2.195000,	91.749990,	12.615000,	0.000000
162,	10.815000,	86.979996,	0.020000,	151.414993,	2.070000,	89.069992,	12.295000,	0.000000
163,	10.840000,	84.285004,	0.015000,	147.110001,	2.045000,	86.345005,	11.990000,	0.000000
164,	10.725000,	82.180000,	0.050000,	142.815002,	1.965000,	84.195000,	11.485001,	0.000000
165,	10.795000,	80.440002,	0.025000,	138.720001,	1.920000,	82.384996,	11.210000,	0.000000
166,	9.935000,	78.379997,	0.030000,	135.349991,	1.880000,	80.290001,	10.485001,	0.000000
167,	10.020000,	75.779999,	0.035000,	131.550003,	1.975000,	77.789999,	10.135000,	0.000000
168,	9.640000,	73.799995,	0.025000,	128.425003,	1.895000,	75.719998,	9.705000,	0.000000
